% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 28 2022, 23:51"
% Table,Table 2 - Surface Integration 1
% shift (m),I_0 (A),d_cover (m),r_0 (m),-mf.Jphi*mf.Br (N)
0.0011210526315789473,0.25,0.001,3.0000000000000003E-4,0.1393240657156763
0.0011210526315789473,0.25,0.001,4.0E-4,0.044083005167834116
0.0011210526315789473,0.25,0.001,5.0E-4,0.018056398916743235
0.0011210526315789473,0.25,0.0011,1.0E-4,9.841202654310546
0.0011210526315789473,0.25,0.0011,2.0E-4,0.6150751658944091
0.0011210526315789473,0.25,0.0011,3.0000000000000003E-4,0.12149632906553276
0.0011210526315789473,0.25,0.0011,4.0E-4,0.03844219786840057
0.0011210526315789473,0.25,0.0011,5.0E-4,0.015745924246896463
0.0011210526315789473,0.25,0.0012000000000000001,1.0E-4,8.671465066783144
0.0011210526315789473,0.25,0.0012000000000000001,2.0E-4,0.541966566673944
0.0011210526315789473,0.25,0.0012000000000000001,3.0000000000000003E-4,0.10705512428127804
0.0011210526315789473,0.25,0.0012000000000000001,4.0E-4,0.03387291041712149
0.0011210526315789473,0.25,0.0012000000000000001,5.0E-4,0.013874344106852957
0.0011210526315789473,0.25,0.0013,1.0E-4,7.905289878344941
0.0011210526315789473,0.25,0.0013,2.0E-4,0.4940806173965588
0.0011210526315789473,0.25,0.0013,3.0000000000000003E-4,0.097596171337595
0.0011210526315789473,0.25,0.0013,4.0E-4,0.03088003858728607
0.0011210526315789473,0.25,0.0013,5.0E-4,0.012648463805352301
0.0011210526315789473,0.25,0.0014000000000000002,1.0E-4,7.351585623381056
0.0011210526315789473,0.25,0.0014000000000000002,2.0E-4,0.45947410146130474
0.0011210526315789473,0.25,0.0014000000000000002,3.0000000000000003E-4,0.09076031633802784
